name,installed,latest,compatible_candidate,status,reason
accelerate,1.15.0,1.15.0,1.15.0,当前 Python 下无新版,
aiofiles,25.1.0,25.1.0,25.1.0,当前 Python 下无新版,
aiosqlite,0.22.1,0.22.1,0.22.1,当前 Python 下无新版,
amqp,5.3.1,5.3.1,5.3.1,当前 Python 下无新版,
annotated-doc,0.0.5,0.0.5,0.0.5,当前 Python 下无新版,
annotated-types,0.8.0,0.8.0,0.8.0,当前 Python 下无新版,
anyio,4.15.1,4.15.1,4.15.1,当前 Python 下无新版,
argon2-cffi,25.1.0,25.1.0,25.1.0,当前 Python 下无新版,
argon2-cffi-bindings,26.1.0,26.1.0,26.1.0,当前 Python 下无新版,
beautifulsoup4,4.15.0,4.15.0,4.15.0,当前 Python 下无新版,
billiard,4.2.4,4.3.0,4.3.0,候选升级,
black,26.5.1,26.5.1,26.5.1,当前 Python 下无新版,
brotli,1.2.0,1.2.0,1.2.0,当前 Python 下无新版,
celery,5.6.3,5.6.3,5.6.3,当前 Python 下无新版,
certifi,2026.7.22,2026.7.22,2026.7.22,当前 Python 下无新版,
cffi,2.1.1,2.1.1,2.1.1,当前 Python 下无新版,
charset-normalizer,3.5.1,3.5.1,3.5.1,当前 Python 下无新版,
click,8.5.0,8.5.0,8.5.0,当前 Python 下无新版,
click-didyoumean,0.3.1,0.3.1,0.3.1,当前 Python 下无新版,
click-plugins,1.1.1.2,1.1.1.2,1.1.1.2,当前 Python 下无新版,
click-repl,0.4.0,0.4.0,0.4.0,当前 Python 下无新版,
cobble,0.1.4,0.1.4,0.1.4,当前 Python 下无新版,
cryptography,50.0.1,50.0.1,50.0.1,当前 Python 下无新版,
cuda-bindings,13.4.1,13.4.2,13.4.2,候选升级,
cuda-pathfinder,1.8.1,1.8.2,1.8.2,候选升级,
cuda-toolkit,13.0.3.0,13.4.2,13.0.3.0,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
distro,1.9.0,1.9.0,1.9.0,当前 Python 下无新版,
docvortex,0.4.9,0.4.12,0.4.12,候选升级,
et-xmlfile,2.0.0,2.0.0,2.0.0,当前 Python 下无新版,
fastapi,0.141.1,0.141.1,0.141.1,当前 Python 下无新版,
filelock,4.0.0,4.0.0,4.0.0,当前 Python 下无新版,
flatbuffers,25.12.19,25.12.19,25.12.19,当前 Python 下无新版,
flower,2.1.0,2.1.0,2.1.0,当前 Python 下无新版,
fonttools,4.65.0,4.65.0,4.65.0,当前 Python 下无新版,
fsspec,2026.7.0,2026.7.0,2026.7.0,当前 Python 下无新版,
ftfy,6.3.1,6.3.1,6.3.1,当前 Python 下无新版,
google-auth,2.58.0,2.58.0,2.58.0,当前 Python 下无新版,
google-genai,2.24.0,2.24.0,2.24.0,当前 Python 下无新版,
gradio,6.27.0,6.27.0,6.27.0,当前 Python 下无新版,
gradio-client,2.7.0,2.7.0,2.7.0,当前 Python 下无新版,
groovy,0.1.2,0.1.2,0.1.2,当前 Python 下无新版,
gunicorn,26.2.0,26.2.0,26.2.0,当前 Python 下无新版,
h11,0.16.0,0.16.0,0.16.0,当前 Python 下无新版,
hf-gradio,0.4.1,0.4.1,0.4.1,当前 Python 下无新版,
hf-xet,1.6.0,1.6.0,1.6.0,当前 Python 下无新版,
httpcore,1.0.9,1.0.9,1.0.9,当前 Python 下无新版,
httptools,0.8.0,0.8.0,0.8.0,当前 Python 下无新版,
httpx,0.28.1,0.28.1,0.28.1,当前 Python 下无新版,
httpx-retries,0.6.0,0.6.0,0.6.0,当前 Python 下无新版,
huggingface-hub,1.31.0,1.32.0,1.32.0,候选升级,
humanize,4.16.0,4.16.0,4.16.0,当前 Python 下无新版,
idna,3.19,3.20,3.20,候选升级,
iniconfig,2.3.0,2.3.0,2.3.0,当前 Python 下无新版,
jieba,0.42.1,0.42.1,0.42.1,当前 Python 下无新版,
jinja2,3.1.6,3.1.6,3.1.6,当前 Python 下无新版,
jiter,0.17.0,0.17.0,0.17.0,当前 Python 下无新版,
json-repair,0.63.4,0.63.4,0.63.4,当前 Python 下无新版,
kombu,5.6.2,5.6.2,5.6.2,当前 Python 下无新版,
latex2mathml,3.81.1,3.81.1,3.81.1,当前 Python 下无新版,
loguru,0.7.3,0.7.3,0.7.3,当前 Python 下无新版,
lxml,6.1.3,6.1.3,6.1.3,当前 Python 下无新版,
magika,1.0.3,1.0.3,1.0.3,当前 Python 下无新版,
mammoth,1.12.2,1.12.2,1.12.2,当前 Python 下无新版,
markdown-it-py,4.2.0,4.2.0,4.2.0,当前 Python 下无新版,
markupsafe,3.0.3,3.0.3,3.0.3,当前 Python 下无新版,
mathml2omml,0.0.2,0.0.2,0.0.2,当前 Python 下无新版,
mdurl,0.1.2,0.1.2,0.1.2,当前 Python 下无新版,
metafile-render,0.3.0,0.3.0,0.3.0,当前 Python 下无新版,
mineru,4.0.0,4.0.2,4.0.2,候选升级,
mineru-llama-cpp,0.1.2,0.1.2,0.1.2,当前 Python 下无新版,
mineru-vl-utils,2.0.4,2.0.4,2.0.4,当前 Python 下无新版,
minio,7.2.20,7.2.20,7.2.20,当前 Python 下无新版,
modelscope,1.40.1,1.40.1,1.40.1,当前 Python 下无新版,
modelscope-hub,0.4.3,0.4.3,0.4.3,当前 Python 下无新版,
mpmath,1.3.0,1.4.1,1.3.0,保留上游约束,SymPy 要求 <1.4
mypy-extensions,1.1.0,1.1.0,1.1.0,当前 Python 下无新版,
networkx,3.6.1,3.6.1,3.6.1,当前 Python 下无新版,
nh3,0.3.7,0.3.7,0.3.7,当前 Python 下无新版,
numpy,2.5.3,2.5.3,2.5.3,当前 Python 下无新版,
nvidia-cublas,13.1.1.3,13.8.0.4,13.1.1.3,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cuda-cupti,13.0.85,13.4.92,13.0.85,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cuda-nvrtc,13.0.88,13.4.92,13.0.88,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cuda-runtime,13.0.96,13.4.92,13.0.96,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cudnn-cu13,9.24.0.43,9.26.0.51,9.24.0.43,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cufft,12.0.0.61,12.4.0.43,12.0.0.61,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cufile,1.15.1.6,1.19.1.55,1.15.1.6,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-curand,10.4.0.35,10.4.4.72,10.4.0.35,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cusolver,12.0.4.66,12.3.4.7,12.0.4.66,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cusparse,12.6.3.3,12.8.6.72,12.6.3.3,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-cusparselt-cu13,0.8.1,0.9.1,0.8.1,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-nccl-cu13,2.30.7,2.31.2,2.30.7,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-nvjitlink,13.4.92,13.4.92,13.4.92,当前 Python 下无新版,
nvidia-nvshmem-cu13,3.4.5,3.7.2,3.4.5,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
nvidia-nvtx,13.0.85,13.4.92,13.0.85,保留上游约束,Torch/CUDA 配套版本约束；CPU 精简方案可移除
olefile,0.47,0.47,0.47,当前 Python 下无新版,
onnxruntime,1.30.0,1.30.0,1.30.0,当前 Python 下无新版,
openai,2.54.0,3.15.0,2.54.0,保留上游约束,MinerU 要求 <3
opencv-python,5.0.0.93,5.0.0.93,5.0.0.93,当前 Python 下无新版,
openpyxl,3.1.5,3.1.5,3.1.5,当前 Python 下无新版,
orjson,3.12.0,3.12.0,3.12.0,当前 Python 下无新版,
packaging,26.3,26.3,26.3,当前 Python 下无新版,
pandas,3.0.5,3.0.6,3.0.6,候选升级,
pathspec,1.1.1,1.1.1,1.1.1,当前 Python 下无新版,
pillow,12.3.0,12.3.0,12.3.0,当前 Python 下无新版,
platformdirs,4.11.9,4.11.10,4.11.10,候选升级,
pluggy,1.6.0,1.6.0,1.6.0,当前 Python 下无新版,
prometheus-client,0.26.0,0.26.0,0.26.0,当前 Python 下无新版,
prompt-toolkit,3.0.53,3.0.53,3.0.53,当前 Python 下无新版,
protobuf,7.36.1,7.36.2,7.36.2,候选升级,
psutil,7.2.2,7.2.2,7.2.2,当前 Python 下无新版,
pyasn1,0.6.4,0.6.4,0.6.4,当前 Python 下无新版,
pyasn1-modules,0.4.2,0.4.2,0.4.2,当前 Python 下无新版,
pyclipper,1.4.0,1.4.0,1.4.0,当前 Python 下无新版,
pycparser,3.0,3.0,3.0,当前 Python 下无新版,
pycryptodome,3.23.0,3.23.0,3.23.0,当前 Python 下无新版,
pydantic,2.13.5,2.13.5,2.13.5,当前 Python 下无新版,
pydantic-core,2.46.5,2.49.0,2.46.5,保留上游约束,Pydantic 精确要求 ==2.46.5
pydub,0.25.1,0.25.1,0.25.1,当前 Python 下无新版,
pygments,2.21.0,2.21.0,2.21.0,当前 Python 下无新版,
pylatexenc,2.11,2.11,2.11,当前 Python 下无新版,
pypdf,6.19.0,6.19.0,6.19.0,当前 Python 下无新版,
pypdfium2,5.13.0,5.13.0,5.13.0,当前 Python 下无新版,
pypptx-with-oxml,1.0.3,1.0.3,1.0.3,当前 Python 下无新版,
pytest,9.1.1,9.1.1,9.1.1,当前 Python 下无新版,
python-dateutil,2.9.0.post0,2.9.0.post0,2.9.0.post0,当前 Python 下无新版,
python-docx,1.2.0,1.2.0,1.2.0,当前 Python 下无新版,
python-dotenv,1.2.3,1.2.3,1.2.3,当前 Python 下无新版,
python-multipart,0.0.32,0.0.32,0.0.32,当前 Python 下无新版,
pytokens,0.4.1,0.4.1,0.4.1,当前 Python 下无新版,
pytz,2026.3.post1,2026.3.post1,2026.3.post1,当前 Python 下无新版,
pyyaml,6.0.3,6.0.3,6.0.3,当前 Python 下无新版,
redis,6.4.0,8.1.0,6.4.0,保留上游约束,Kombu redis extra 要求 <6.5
regex,2026.9.10,2026.9.10,2026.9.10,当前 Python 下无新版,
reportlab,5.0.1,5.0.1,5.0.1,当前 Python 下无新版,
requests,2.34.2,2.34.2,2.34.2,当前 Python 下无新版,
resvg-py,0.5.0,0.5.0,0.5.0,当前 Python 下无新版,
rich,15.0.0,15.0.0,15.0.0,当前 Python 下无新版,
rl-accel,0.9.1,0.9.1,0.9.1,当前 Python 下无新版,
ruff,0.16.8,0.16.8,0.16.8,当前 Python 下无新版,
safehttpx,0.1.7,0.1.7,0.1.7,当前 Python 下无新版,
safetensors,0.8.0,0.8.0,0.8.0,当前 Python 下无新版,
semantic-version,2.10.0,2.10.0,2.10.0,当前 Python 下无新版,
setuptools,84.0.0,84.0.0,84.0.0,当前 Python 下无新版,
shapely,2.1.2,2.1.2,2.1.2,当前 Python 下无新版,
shellingham,1.5.4,1.5.4,1.5.4,当前 Python 下无新版,
